building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
329 6 Avenue,Whatever Tattoo,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,500,0,0,,1,12,500,41.6666666666667,Standard,Yes,West Village,2,500,10014,983809,205739,Existing,1,Manhattan,1-589-29,589,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-589-29-2,,,,,,
321 6 Avenue,Fay Da Bakery,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$,Asian,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,730,0,0,,1,12,730,60.8333333333333,Standard,Yes,West Village,1,730,10014,983761,205655,Existing,1,Manhattan,1-589-33,589,33,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-33-1,,,,,,
319 6 Avenue,2 Bros Pizza,Occupied,Unavailable,Restaurant & Bar,Fast Food,Regional Presence,$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1344,0,0,Step up,1,15,1344,89.6,Standard,Yes,West Village,1,1344,10014,983752,205640,Existing,1,Manhattan,1-589-34,589,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-34-1,,,,,,
317 6 Avenue,Smoke Shop,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,465,0,0,Step up,1,15,465,31,Standard,Yes,West Village,1,465,10014,983741,205624,Existing,1,Manhattan,1-589-35,589,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-35-1,,,,,,
315 6 Avenue,La Vid Wine & Spirits,Occupied,Unavailable,Liquor Store,Liquor Store,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1350,0,0,Step up,1,15,1350,90,Standard,Yes,West Village,1,1350,10014,983734,205607,Existing,1,Manhattan,1-589-36,589,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-36-1,,,,,,
313 6 Avenue,vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,825,0,0,Step up,1,18,825,45.8333333333333,Standard,Yes,West Village,1,825,10014,983703,205604,Existing,1,Manhattan,1-589-37,589,37,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-37-1,,,,,,
311 6 Avenue,Village Pop,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1500,0,0,,1,15,1500,100,Standard,Yes,West Village,1,1500,10014,983724,205573,Existing,1,Manhattan,1-589-38,589,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-38-1,,,,,,
7 Carmine Street,Bagels on the Square,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1052.8947,0,0,,1,18,1052.8947,58.49415,Standard,Yes,West Village,3,1052.8947,10014,983643,205469,Existing,1,Manhattan,1-589-45,589,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-45-1,,,,,,
7 Carmine Street,Joe's Pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1052.8947,0,0,Step up,1,18,1052.8947,58.49415,Standard,Yes,West Village,3,1052.8947,10014,983643,205469,Existing,1,Manhattan,1-589-45,589,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-589-45-2,,,,,,
13 Carmine Street,Greenwich Village Bistro,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1350,0,0,,1,21,1350,64.2857142857143,Standard,Yes,West Village,1,1350,10014,983588,205451,Existing,1,Manhattan,1-589-47,589,47,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-47-1,,,,,,
333 6 Avenue,Fantasy Tattoo,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,10 ,Street Frontage,0,450,0,0,,1,24,450,18.75,Standard,Yes,West Village,5,450,10014,983863,205790,Existing,1,Manhattan,1-589-7501,589,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-7501-1,,,,,,
333 6 Avenue,Papaya Dog,Occupied,Unavailable,Restaurant & Bar,Fast Food,Regional Presence,$,North American,,,2 - Average,2 - Average,4,Average,Yes,40 ,Street Frontage,0,1800,0,0,,1,75,1800,24,Standard,Yes,West Village,5,1800,10014,983863,205790,Existing,1,Manhattan,1-589-7501,589,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-589-7501-2,,,,,,
333 6 Avenue,Fantasy  Parties,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$,North American,Adult,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,900,0,0,,1,18,900,50,Standard,Yes,West Village,5,900,10014,983863,205790,Existing,1,Manhattan,1-589-7501,589,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-589-7501-3,,,,,,
333 6 Avenue,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,15 ,Street Frontage,0,675,0,0,,1,18,675,37.5,Standard,Yes,West Village,5,675,10014,983863,205790,Existing,1,Manhattan,1-589-7501,589,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,4,1-589-7501-4,,,,,,
32 Jones Street,Caffe Vivaldi,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1084.5,0,0,Step up,1,21,1084.5,51.6428571428571,Standard,Yes,West Village,3,1084.5,10014,983408,205859,Existing,1,Manhattan,1-590-11,590,11,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-11-1,,,,,,
166 West 4 Street,Burrito Loco,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1000,0,0,Step up,1,21,1000,47.6190476190476,Standard,Yes,West Village,1,1000,10014,983823,205945,Existing,1,Manhattan,1-590-31,590,31,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-31-1,,,,,,
164 West 4 Street,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,15 ,Street Frontage,0,352.65,0,0,Step up,1,15,352.65,23.51,Standard,Yes,West Village,3,352.65,10014,983861,205900,Existing,1,Manhattan,1-590-32,590,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-32-1,,,,,,
5 Cornelia Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,350,0,0,Step down,1,18,350,19.4444444444444,Standard,Yes,West Village,1,350,10014,983830,205894,Existing,1,Manhattan,1-590-33,590,33,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-33-1,,,,,,
29 Cornelia Street,Cornelia Street Cafe,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,Hip,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,2000,0,0,,1,30,2000,66.6666666666667,Standard,Yes,West Village,1,2000,10014,983559,205782,Existing,1,Manhattan,1-590-45,590,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-45-1,,,,,,
31 Cornelia Street,Po,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1206,0,0,Step up,1,18,1206,67,Standard,Yes,West Village,1,1206,10014,983530,205768,Existing,1,Manhattan,1-590-47,590,47,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-47-1,,,,,,
33 Cornelia Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,2048,0,0,,1,18,2048,113.777777777778,Standard,Yes,West Village,1,2048,10014,983511,205760,Existing,1,Manhattan,1-590-48,590,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-48-1,,,,,,
69 7 Avenue,Bleecker Street Pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,821,0,0,Step up,1,15,821,54.7333333333333,Standard,Yes,West Village,2,821,10014,983328,206050,Existing,1,Manhattan,1-590-54,590,54,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-54-1,,,,,,
75 7 Avenue,Dharmini Inc.,Occupied,Available,Grocery,"Deli, Convenience Store",Local Chain / Independant,$,North American,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,0,489,0,0,,1,15,489,32.6,Standard,Yes,West Village,2,489,10014,983330,206082,Existing,1,Manhattan,1-590-55,590,55,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-55-1,,,,,,
19 Barrow Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1020,0,0,,1,18,1020,56.6666666666667,Standard,Yes,West Village,1,1020,10014,983495,206128,Existing,1,Manhattan,1-590-61,590,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-61-1,,,,,,
15 Barrow Street ,Barrow Street Alehouse,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1100,0,0,Step up,1,9,1100,122.222222222222,Standard,Yes,West Village,1,1100,10014,983552,206154,Existing,1,Manhattan,1-590-64,590,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-64-1,,,,,,
182 West 4 Street,The Slaughtered Lamb Pub,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,40 ,Street Frontage,0,1280,0,0,Step up,1,105,1280,12.1904761904762,Standard,Yes,West Village,3,1280,10014,983712,206110,Existing,1,Manhattan,1-590-73,590,73,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-73-1,,,,,,
5 Jones Street,Florence Prime Meat Market,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,645,0,0,Step up,1,12,645,53.75,Standard,Yes,West Village,2,645,10014,983679,206112,Existing,1,Manhattan,1-590-75,590,75,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-590-75-2,,,,,,
188 West 4 Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,0,2238,0,0,Step up,1,60,2238,37.3,High,Yes,West Village,5,2238,10014,983621,206186,Existing,1,Manhattan,1-590-7502,590,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-7502-1,,,,,,
9 Jones Street,Perrila,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1200,0,0,,1,18,1200,66.6666666666667,Standard,Yes,West Village,1,1200,10014,983634,206089,Existing,1,Manhattan,1-590-77,590,77,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-590-77-1,,,,,,
92 7 Avenue South,Panca,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,South American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1127.2206,0,0,,1,48,1127.2206,23.4837625,Standard,Yes,West Village,3,1127.2206,10014,983289,206294,Existing,1,Manhattan,1-591-10,591,10,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-591-10-1,,,,,,
98 7 Avenue South,Casa Oliveira Wines & Liquors,Occupied,Unavailable,Liquor Store,Liquor Store,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1127.5588,0,0,,1,30,1127.5588,37.5852933333333,Standard,Yes,West Village,3,1127.5588,10014,983289,206294,Existing,1,Manhattan,1-591-10,591,10,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-591-10-2,,,,,,
91 7 Avenue South,Jekyll & Hyde Pub,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1677,0,0,,1,30,1677,55.9,Standard,Yes,West Village,2,1677,10014,983433,206235,Existing,1,Manhattan,1-591-15,591,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-591-15-1,,,,,,
95 7 Avenue South,Gallo Nero,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,South American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1677,0,0,,1,30,1677,55.9,Standard,Yes,West Village,2,1677,10014,983433,206235,Existing,1,Manhattan,1-591-15,591,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-591-15-2,,,,,,
99 7 Avenue South,Garage Restaurant,Occupied,Available,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,Hip,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,1200,2817,300,0,,1,60,2817,46.95,Standard,Yes,West Village,1,4317,10014,983460,206338,Existing,1,Manhattan,1-591-17,591,17,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-591-17-1,,,,,,
